iter	Passed	Remaining
0	115	115188
1	115	57824
2	116	38676
3	116	29127
4	117	23427
5	118	19608
6	119	16882
7	119	14819
8	120	13213
9	120	11940
10	121	10890
11	121	10009
12	122	9266
13	122	8640
14	123	8088
15	123	7609
16	124	7183
17	124	6813
18	125	6488
19	126	6187
20	126	5911
21	127	5659
22	127	5427
23	128	5217
24	128	5025
25	129	4846
26	129	4680
27	130	4527
28	130	4383
29	131	4250
30	132	4128
31	132	4014
32	133	3904
33	133	3802
34	134	3706
35	134	3612
36	135	3524
37	135	3440
38	136	3360
39	136	3284
40	137	3212
41	137	3145
42	138	3081
43	139	3020
44	139	2963
45	140	2910
46	140	2858
47	141	2808
48	142	2759
49	142	2713
50	143	2669
51	144	2627
52	144	2586
53	145	2546
54	145	2506
55	146	2469
56	147	2436
57	148	2404
58	148	2373
59	149	2341
60	150	2313
61	151	2285
62	151	2258
63	152	2230
64	153	2202
65	153	2178
66	154	2152
67	155	2124
68	155	2102
69	156	2081
70	157	2059
71	158	2037
72	158	2016
73	159	1995
74	160	1974
75	160	1954
76	161	1936
77	162	1916
78	162	1897
79	163	1878
80	163	1860
81	164	1841
82	165	1824
83	165	1807
84	166	1788
85	166	1771
86	167	1753
87	167	1737
88	168	1722
89	168	1708
90	169	1695
91	170	1680
92	170	1665
93	171	1652
94	171	1637
95	172	1624
96	173	1611
97	173	1599
98	174	1586
99	174	1574
100	175	1561
101	175	1547
102	176	1535
103	176	1523
104	177	1513
105	178	1502
106	178	1491
107	179	1480
108	179	1470
109	180	1459
110	181	1450
111	181	1441
112	182	1431
113	183	1423
114	183	1413
115	184	1403
116	184	1394
117	185	1388
118	186	1379
119	186	1370
120	187	1362
121	188	1353
122	188	1343
123	189	1335
124	189	1327
125	190	1319
126	190	1311
127	191	1301
128	191	1293
129	192	1287
130	193	1280
131	193	1273
132	194	1266
133	194	1260
134	195	1253
135	196	1246
136	196	1239
137	197	1231
138	197	1225
139	198	1219
140	199	1213
141	199	1207
142	200	1201
143	200	1194
144	201	1189
145	202	1184
146	203	1178
147	203	1173
148	204	1167
149	205	1161
150	205	1155
151	206	1150
152	206	1144
153	207	1139
154	208	1135
155	209	1131
156	209	1125
157	210	1120
158	211	1116
159	211	1111
160	212	1106
161	212	1101
162	213	1096
163	214	1091
164	215	1088
165	215	1084
166	216	1079
167	217	1075
168	217	1071
169	218	1067
170	219	1062
171	219	1058
172	220	1053
173	221	1049
174	221	1045
175	222	1041
176	223	1037
177	223	1033
178	224	1029
179	224	1024
180	225	1019
181	225	1015
182	226	1012
183	227	1008
184	228	1004
185	228	1000
186	229	997
187	230	993
188	230	990
189	231	986
190	232	983
191	232	979
192	233	976
193	234	972
194	234	968
195	235	964
196	235	960
197	236	957
198	236	953
199	237	950
200	238	947
201	239	944
202	239	940
203	240	938
204	241	935
205	241	932
206	242	929
207	243	925
208	243	922
209	244	919
210	245	916
211	245	913
212	246	910
213	246	907
214	247	904
215	248	900
216	248	897
217	249	895
218	250	892
219	250	889
220	251	887
221	252	884
222	253	881
223	253	879
224	254	877
225	255	874
226	256	871
227	256	869
228	257	866
229	258	863
230	258	860
231	259	857
232	259	855
233	260	853
234	261	851
235	262	849
236	262	846
237	263	844
238	264	842
239	265	839
240	265	836
241	266	833
242	266	830
243	267	827
244	267	825
245	268	822
246	269	820
247	269	817
248	270	814
249	270	811
250	271	809
251	271	806
252	272	803
253	272	800
254	273	798
255	273	795
256	274	792
257	274	790
258	275	787
259	275	785
260	276	782
261	277	780
262	277	777
263	278	775
264	278	772
265	279	770
266	279	767
267	280	765
268	280	762
269	281	760
270	281	757
271	282	755
272	283	753
273	283	752
274	284	750
275	285	748
276	285	746
277	286	744
278	287	742
279	287	740
