iter	Passed	Remaining
0	90	90206
1	90	45300
2	91	30340
3	92	22962
4	92	18472
5	93	15484
6	94	13346
7	94	11729
8	94	10456
9	95	9444
10	95	8616
11	96	7925
12	96	7344
13	97	6884
14	98	6482
15	99	6110
16	100	5790
17	101	5546
18	103	5351
19	106	5211
20	107	5004
21	107	4793
22	108	4609
23	109	4441
24	109	4275
25	110	4125
26	110	3989
27	111	3883
28	113	3809
29	115	3730
30	116	3642
31	117	3565
32	118	3484
33	120	3415
34	121	3340
35	122	3272
36	123	3205
37	124	3141
38	125	3081
39	125	3023
40	127	2977
41	128	2930
42	129	2882
43	130	2838
44	131	2792
45	132	2753
46	133	2716
47	135	2687
48	136	2654
49	137	2618
50	139	2587
51	140	2553
52	140	2518
53	141	2483
54	142	2451
55	144	2429
56	145	2404
57	146	2377
58	147	2354
59	148	2329
60	149	2308
61	151	2288
62	152	2267
63	153	2244
64	154	2217
65	154	2191
66	155	2165
67	156	2141
68	157	2119
69	157	2097
70	158	2077
71	159	2058
72	160	2039
73	161	2020
74	162	1999
75	162	1980
76	163	1960
77	164	1940
78	164	1922
79	165	1906
80	166	1888
81	167	1870
82	167	1848
83	167	1831
84	168	1814
85	169	1797
86	169	1780
87	170	1765
88	171	1750
89	171	1735
90	172	1720
91	173	1707
92	173	1695
93	174	1683
94	175	1668
95	175	1654
96	176	1640
97	176	1625
98	177	1611
99	177	1598
100	178	1585
101	178	1572
102	179	1559
103	179	1548
104	180	1537
105	181	1527
106	181	1517
107	182	1506
108	183	1497
109	183	1485
110	184	1474
111	184	1463
112	185	1452
113	185	1442
114	186	1431
115	186	1421
116	186	1411
117	187	1401
118	188	1393
119	188	1385
120	189	1376
121	189	1366
122	190	1358
123	190	1348
124	191	1339
125	191	1330
126	192	1322
127	192	1313
128	193	1305
129	193	1296
130	194	1288
131	194	1281
132	195	1274
133	196	1269
134	197	1262
135	197	1254
136	198	1247
137	198	1240
138	199	1233
139	199	1226
140	200	1219
141	200	1211
142	200	1203
143	201	1196
144	201	1189
145	202	1183
146	202	1177
147	203	1171
148	204	1165
149	204	1159
150	205	1153
151	205	1147
152	206	1142
153	207	1137
154	207	1131
155	208	1126
156	208	1120
157	209	1115
158	210	1111
159	210	1105
160	211	1099
161	211	1094
162	212	1089
163	212	1084
164	213	1079
165	213	1074
166	214	1069
167	214	1064
168	215	1059
169	215	1054
170	216	1049
171	216	1044
172	217	1039
173	218	1035
174	218	1030
175	219	1026
176	219	1021
177	220	1016
178	220	1011
179	221	1007
180	221	1002
181	221	997
182	222	992
183	222	988
184	223	983
185	223	978
186	224	974
187	224	970
188	225	965
189	225	961
190	226	958
191	226	954
192	227	949
193	227	945
194	228	941
195	228	937
196	228	933
197	229	929
198	229	925
199	230	921
200	230	917
201	231	913
202	231	909
203	232	905
204	232	901
205	233	898
206	233	895
207	234	892
208	234	889
209	235	885
